horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,54,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1995572680607438,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,55,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19959844648838043,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,56,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19907578080892563,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,57,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19648972805589437,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,58,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19828815665096045,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,59,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19812826812267303,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,60,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19804656226187944,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,61,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1979830414056778,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,62,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19751404039561749,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,63,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19071995373815298,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,64,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1922507667914033,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,65,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1923323441296816,1,NVIDIA A40,1,8,6499038,2020-07-01
