horizon_days,repetition,et_seconds,sm_seconds,pair_seconds,resource,gpu_count,supporting_cpu_cores,batch_size,slurm_job_id,target_date
7,136,0.20185574050992727,0.19353332370519638,0.39539310336112976,NVIDIA A40,1,8,1,6499038,2020-07-01
7,137,0.20071369409561157,0.19367606937885284,0.3943948233500123,NVIDIA A40,1,8,1,6499038,2020-07-01
7,138,0.2003722582012415,0.19364462792873383,0.39402166567742825,NVIDIA A40,1,8,1,6499038,2020-07-01
7,139,0.2005978710949421,0.18780276272445917,0.3884055335074663,NVIDIA A40,1,8,1,6499038,2020-07-01
7,140,0.19210813380777836,0.18711046129465103,0.37922332249581814,NVIDIA A40,1,8,1,6499038,2020-07-01
7,141,0.18888854142278433,0.18414280284196138,0.3730372153222561,NVIDIA A40,1,8,1,6499038,2020-07-01
7,142,0.1914311619475484,0.18535002507269382,0.3767863670364022,NVIDIA A40,1,8,1,6499038,2020-07-01
7,143,0.19142086058855057,0.18537472188472748,0.37680067401379347,NVIDIA A40,1,8,1,6499038,2020-07-01
7,144,0.19153850805014372,0.18508157972246408,0.37662520725280046,NVIDIA A40,1,8,1,6499038,2020-07-01
7,145,0.1947822868824005,0.19069797173142433,0.38548432663083076,NVIDIA A40,1,8,1,6499038,2020-07-01
7,146,0.1999734416604042,0.1943503674119711,0.3943281751126051,NVIDIA A40,1,8,1,6499038,2020-07-01
7,147,0.19973434042185545,0.19031113758683205,0.3900502882897854,NVIDIA A40,1,8,1,6499038,2020-07-01
7,148,0.20128050539642572,0.19508089125156403,0.39636641554534435,NVIDIA A40,1,8,1,6499038,2020-07-01
7,149,0.2014153441414237,0.1950462544336915,0.39646648801863194,NVIDIA A40,1,8,1,6499038,2020-07-01
7,150,0.20196057297289371,0.19540149718523026,0.39736783131957054,NVIDIA A40,1,8,1,6499038,2020-07-01
7,151,0.20161769352853298,0.1935376925393939,0.39515976421535015,NVIDIA A40,1,8,1,6499038,2020-07-01
7,152,0.19062270689755678,0.1859869807958603,0.37661365512758493,NVIDIA A40,1,8,1,6499038,2020-07-01
